1/1/1 22 December 1967, Nicholas Parsons with Derek Nimmo, Clement Freud, Wilma Ewart and Beryl Reid, excuses for being late.
440/27/7 12 February 1994, Nicholas Parsons with Derek Nimmo, Peter Jones, Clement Freud and Jenny Eclair, what I don't talk about.
TV7/1/7 17 February 1994, Nicholas Parsons with Tony Slattery, Arthur Smith, Richard Vranch and Pete McCarthy, things to do on South End Pier.
441/27/8 19 February 1994, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Eddie Izzard, Edwin King of Northumberland.
TV8/1/8 24 February 1994, Nicholas Parsons with Tony Slattery, Derek Nimmo, Nick Revell and John Fortune, my elephant and castle.
442/27/9 26 February 1994, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Greg Proops, Princes Street.
TV9/1/9 3 March 1994, Nicholas Parsons with Tony Slattery, Neil Mullarkey, Tony Banks and Hattie Hayridge, Heathrow.
443/27/10 5 March 1994, Nicholas Parsons with Paul Merton, Peter Jones, Stephen Fry and Jan Ravens, metalwork.
TV10/1/10 2 August 1994, Nicholas Parsons with Tony Slattery, Clement Freud, Tony Hawks and Richard Vranch, London nightlife.
TV11/1/11 9 August 1994, Nicholas Parsons with Tony Slattery, Jim Sweeney, Lee Simpson and Jo Brand, the London Marathon.
TV12/1/12 16 August 1994, Nicholas Parsons with Tony Slattery, Derek Nimmo, Nick Revell and John Fortune, the scrubs.
TV13/1/13 23 August 1994, Nicholas Parsons with Tony Slattery, Arthur Smith, Richard Vranch and Ted Robbins, how we survived the Blitz.
TV14/1/14 30 August 1994, Nicholas Parsons with Tony Slattery, Neil Mullarkey, Tony Banks and Hattie Hayridge, why Oscar Wilde decided to live in Tight Street.
444/28/1 24 December 1994, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Stephen Fry, my favourite Christmas present.
445/28/2 31 December 1994, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Tony Hawks, tamoshanter.
446/28/3 7 January 1995, Nicholas Parsons with Derek Nimmo, Peter Jones, Tony Hawks and Jeremy Hardy, Glamorgan.
447/28/4 14 January 1995, Nicholas Parsons with Clement Freud, Tony Hawks, Kit Hesketh-Harvey and Hugh Dennis, jesters.
448/28/5 21 January 1995, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Tony Hawks, the firth of Forth.
449/28/6 28 January 1995, Nicholas Parsons with Paul Merton, Peter Jones, Kit Hesketh-Harvey and Jenny Eclair, mobile phones.
450/28/7 4 February 1995, Nicholas Parsons with Paul Merton, Derek Nimmo, Peter Jones and Steve Frost, a crash course.
451/28/8 11 February 1995, Nicholas Parsons with Derek Nimmo, Peter Jones, Tony Hawks and Jeremy Hardy, dragons.
452/28/9 18 February 1995, Nicholas Parsons with Paul Merton, Peter Jones, Wendy Richard and Lee Simpson, the third row of this audience.
453/28/10 25 February 1995, Nicholas Parsons with Paul Merton, Peter Jones, Kit Hesketh-Harvey and Jenny Eclair, playing the fool.
454/28/11 4 March 1995, Nicholas Parsons with Paul Merton, Derek Nimmo, Peter Jones and Steve Frost, odd surnames.
TV15/2/1 2 June 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Clement Freud and Helen Lederer, wolves.
TV16/2/2 9 June 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Richard Vranch and Tony Blackburn, having a double.
TV17/2/3 16 June 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Mariella Frostrup and Carolyn Marshall, groceries in Grantham.
TV18/2/4 23 June 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Graham Norton and Su Pollard, my first audition.
TV19/2/5 30 June 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Kit Hesketh-Harvey and Jeremy Hardy, ?
TV20/2/6 7 July 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Arthur Smith and Jim Sweeney, what I'm doing here.
TV21/2/7 14 July 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Clement Freud and Helen Lederer, the M1.
TV22/2/8 21 July 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Richard Vranch and Craig Charles, weekends.
TV23/2/9 28 July 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Wendy Richard and Liza Goddard, Dale's diary.
TV24/2/10 4 August 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Kit Hesketh-Harvey and Jeremy Hardy, the glamour of Solihull.
TV25/2/11 11 August 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Tony Banks and Mariella Frostrup, down the tube.
TV26/2/12 18 August 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Arthur Smith and Jim Sweeney, who is buried under Platform 10 at Waterloo Station.
TV27/2/13 25 August 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Wendy Richard and Liza Goddard, ?
TV28/2/14 1 September 1995, Nicholas Parsons with Tony Slattery, Dale Winton, Graham Norton and Su Pollard, ?
455/29/1 6 January 1996, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, the capital of Scotland.
456/29/2 13 January 1996, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Kit Hesketh-Harvey, charisma.
457/29/3 20 January 1996, Nicholas Parsons with Derek Nimmo, Peter Jones, Tony Hawks and Fred MacAulay, Ayr.
458/29/4 27 January 1996, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Maria McErlane, Robin Hood.
459/29/5 3 February 1996, Nicholas Parsons with Derek Nimmo, Peter Jones, Graham Norton and Tony Hawks, castles.
460/29/6 10 February 1996, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Kit Hesketh-Harvey, big bang theory.
461/29/7 17 February 1996, Nicholas Parsons with Derek Nimmo, Peter Jones, Tony Hawks and Fred MacAulay, Burns.
462/29/8 24 February 1996, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Maria McErlane, goose.
463/29/9 2 March 1996, Nicholas Parsons with Derek Nimmo, Peter Jones, Graham Norton and Tony Hawks, Lindisfarne.
464/29/10 9 March 1996, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, tattoo.
465/30/1 4 January 1997, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, the Scotsman.
466/30/2 11 January 1997, Nicholas Parsons with Paul Merton, Derek Nimmo, Peter Jones and Neil Mullarkey, swan.
467/30/3 18 January 1997, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Graham Norton, pressing the flesh.
468/30/4 25 January 1997, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Julian Clary, jersey.
469/30/5 1 February 1997, Nicholas Parsons with Clement Freud, Peter Jones, Tony Hawks and Fred MacAulay, St Andrew's.
470/30/6 8 February 1997, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, the Highlands.
471/30/7 15 February 1997, Nicholas Parsons with Paul Merton, Derek Nimmo, Peter Jones and Neil Mullarkey, sauce.
472/30/8 22 February 1997, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Graham Norton, tripe.
473/30/9 1 March 1997, Nicholas Parsons with Clement Freud, Peter Jones, Tony Hawks and Fred MacAulay, greens.
474/30/10 8 March 1997, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Julian Clary, cows.
475/31/1 19 July 1997, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Arthur Smith, Manchester.
476/31/2 26 July 1997, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Kit Hesketh-Harvey, Leicestershire.
477/31/3 2 August 1997, Nicholas Parsons with Derek Nimmo, Clement Freud, Tony Hawks and Fred MacAulay, Glasgow.
478/31/4 9 August 1997, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Kit Hesketh-Harvey, flying by the seat of my pants.
479/31/5 16 August 1997, Nicholas Parsons with Derek Nimmo, Clement Freud, Tony Hawks and Fred MacAulay, citizens.
480/32/1 3 January 1998, Nicholas Parsons with Paul Merton, Derek Nimmo, Graham Norton and Greg Proops, getting in first.
481/32/2 10 January 1998, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Arthur Smith, the street.
482/32/3 17 January 1998, Nicholas Parsons with Paul Merton, Clement Freud, Tim Rice and Gerry Kelly, the crack.
483/32/4 8 September 1997 and 24 January 1998, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, logjam.
484/32/5 31 January 1998, Nicholas Parsons with Paul Merton, Derek Nimmo, Graham Norton and Greg Proops, forbidden fruit.
485/32/6 7 February 1998, Nicholas Parsons with Paul Merton, Clement Freud, Tim Rice and Gerry Kelly, pleasantries.
486/32/7 14 February 1998, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Peter Jones, Scottish widows.
487/33/1 8 June 1998, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Julian Clary, bath Oliver.
488/33/2 15 June 1998, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Maureen Lipman, where Just A Minute can be enjoyed.
489/33/3 22 June 1998, Nicholas Parsons with Paul Merton, Peter Jones, Steve Frost and Maria McErlane, what the actress said to the bishop.
490/33/4 29 June 1998, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Kit Hesketh-Harvey, palace.
491/33/5 6 July 1998, Nicholas Parsons with Paul Merton, Derek Nimmo, Tony Hawks and Blythe Duff, wee timorous beastie.
492/33/6 13 July 1998, Nicholas Parsons with Paul Merton, Peter Jones, Steve Frost and Maria McErlane, first words.
493/33/7 20 July 1998, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Maureen Lipman, white lies.
494/33/8 27 July 1998, Nicholas Parsons with Paul Merton, Derek Nimmo, Clement Freud and Julian Clary, service.
495/33/9 3 August 1998, Nicholas Parsons with Derek Nimmo, Clement Freud, Peter Jones and Kit Hesketh-Harvey, my favourite view.
496/33/10 10 August 1998, Nicholas Parsons with Paul Merton, Derek Nimmo, Tony Hawks and Blythe Duff, a university life.
497/34/1 18 January 1999, Nicholas Parsons with Derek Nimmo, Tony Hawks, Graham Norton and Linda Smith, the full monty.
498/34/2 25 January 1999, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Tony Hawks, the life and soul of the party.
499/34/3 1 February 1999, Nicholas Parsons with Peter Jones, Tim Rice, Jenny Eclair and Steve Frost, taking the sea air.
500/34/4 8 February 1999, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Fred MacAulay, breakfast in bed.
501/34/5 15 February 1999, Nicholas Parsons with Derek Nimmo, Clement Freud, Tony Slattery and Steve Frost, fast food.
502/34/6 22 February 1999, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Tony Hawks, the secret mission.
503/34/7 1 March 1999, Nicholas Parsons with Derek Nimmo, Tony Hawks, Graham Norton and Linda Smith, what makes me furious.
504/34/8 8 March 1999, Nicholas Parsons with Peter Jones, Tim Rice, Jenny Eclair and Steve Frost, giving your all.
505/34/9 15 March 1999, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Richard Morton, a can of worms.
506/34/10 22 March 1999, Nicholas Parsons with Derek Nimmo, Clement Freud, Tony Slattery and Steve Frost, the gatecrasher.
TV29/3/1 19 April 1999, Nicholas Parsons with Barry Cryer, John Sergeant, Su Pollard and Brian Sewell, ever decreasing circles.
TV30/3/2 20 April 1999, Nicholas Parsons with Tony Hawks, Wendy Richard, Steve Frost and Clare Balding, what I'd really like to talk about.
TV31/3/3 21 April 1999, Nicholas Parsons with Gyles Brandreth, Linda Smith, Isla Blair and Gary Wilmot, shrinking violet.
TV32/3/4 22 April 1999, Nicholas Parsons with Peter Jones, Linda Smith, Wendy Richard and Pam Ayres, Yorkshire pudding.
TV33/3/5 23 April 1999, Nicholas Parsons with Peter Jones, Tony Hawks, Gyles Brandreth and Jo Brand, St George's Day.
TV34/3/6 26 April 1999, Nicholas Parsons with Tony Hawks, Wendy Richard, Barry Cryer and Steve Frost, email.
TV35/3/7 27 April 1999, Nicholas Parsons with Peter Jones, Linda Smith, Maria McErlane and Michael Cashman, kitchen gadgets.
TV36/3/8 28 April 1999, Nicholas Parsons with Richard Vranch, Liza Goddard, Richard Morton and Tom O'Connor, rude words.
TV37/3/9 29 April 1999, Nicholas Parsons with Tony Hawks, Wendy Richard, Steve Frost and Clare Balding, duvets.
TV38/3/10 30 April 1999, Nicholas Parsons with Barry Cryer, John Sergeant, Su Pollard and Brian Sewell, shorthand.
TV39/3/11 3 May 1999, Nicholas Parsons with Gyles Brandreth, Linda Smith, Isla Blair and Gary Wilmot, if I ruled the world.
TV40/3/12 4 May 1999, Nicholas Parsons with Linda Smith, Wendy Richard, Maria McErlane and Steve Punt, virtual reality.
TV41/3/13 5 May 1999, Nicholas Parsons with Gyles Brandreth, Liza Goddard, Richard Morton and Ken Bruce, a bit on the side.
TV42/3/14 6 May 1999, Nicholas Parsons with Peter Jones, Linda Smith, Wendy Richard and Pam Ayres, mumbo jumbo.
TV43/3/15 10 May 1999, Nicholas Parsons with Tony Hawks, Wendy Richard, Barry Cryer and Steve Frost, garden gnomes.
TV44/3/16 11 May 1999, Nicholas Parsons with Peter Jones, Linda Smith, Maria McErlane and Michael Cashman, Niagara Falls.
TV45/3/17 12 May 1999, Nicholas Parsons with Peter Jones, Tony Hawks, Gyles Brandreth and Jo Brand, my greatest wish.
TV46/3/18 13 May 1999, Nicholas Parsons with Linda Smith, Wendy Richard, Maria McErlane and Steve Punt, the great British public.
TV47/3/19 14 May 1999, Nicholas Parsons with Gyles Brandreth, Liza Goddard, Richard Morton and Ken Bruce, flat feet.
TV48/3/20 26 May 1999, Nicholas Parsons with Richard Vranch, Liza Goddard, Richard Morton and Tom O'Connor, saying sorry.
507/35/1 5 July 1999, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Stephen Fry, flirting.
508/35/2 12 July 1999, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Fred MacAulay, breeding porcupines.
509/35/3 19 July 1999, Nicholas Parsons with Peter Jones, Kit Hesketh-Harvey, Jenny Eclair and Steve Frost, dreaming spires.
510/35/4 26 July 1999, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Tony Hawks, the wrong number.
511/35/5 2 August 1999, Nicholas Parsons with Peter Jones, Kit Hesketh-Harvey, Jenny Eclair and Steve Frost, mother tongue.
512/35/6 9 August 1999, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Stephen Fry, the novel inside me.
513/35/7 16 August 1999, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Greg Proops, the end of the century.
514/35/8 23 August 1999, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Richard Vranch, something I do only in Edinburgh.
515/35/9 30 August 1999, Nicholas Parsons with Paul Merton, Clement Freud, Peter Jones and Tony Hawks, York.
516/35/10 6 September 1999, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Fred MacAulay, speakeasy.
517/36/1 20 December 1999, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Linda Smith, Narcissus.
518/36/2 27 December 1999, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Linda Smith, the angel of the north.
519/36/3 3 January 2000, Nicholas Parsons with Clement Freud, Peter Jones, Tony Hawks and Kit Hesketh-Harvey, kicking off.
520/36/4 10 January 2000, Nicholas Parsons with Clement Freud, Peter Jones, Tony Hawks and Kit Hesketh-Harvey, milking laughs.
521/36/5 17 January 2000, Nicholas Parsons with Paul Merton, Peter Jones, Stephen Fry and Maria McErlane, laying it on with a trowel.
522/36/6 24 January 2000, Nicholas Parsons with Paul Merton, Peter Jones, Stephen Fry and Maria McErlane, miracles.
523/36/7 31 January 2000, Nicholas Parsons with Clement Freud, Graham Norton, Steve Frost and Martin Jarvis, hangovers.
524/36/8 7 February 2000, Nicholas Parsons with Clement Freud, Graham Norton, Steve Frost and Martin Jarvis, spice.
525/36/9 14 February 2000, Nicholas Parsons with Clement Freud, Julian Clary, Linda Smith and Simon Williams, casting off.
526/36/10 21 February 2000, Nicholas Parsons with Clement Freud, Julian Clary, Linda Smith and Simon Williams, powdering my nose.
527/37/1 3 July 2000, Nicholas Parsons with Clement Freud, Tony Hawks, Graham Norton and Linda Smith, smelling a rat.
528/37/2 10 July 2000, Nicholas Parsons with Paul Merton, Clement Freud, Linda Smith and Stephen Fry, what I wear in bed.
529/37/3 17 July 2000, Nicholas Parsons with Clement Freud, Tony Hawks, Sue Perkins and Jeremy Hardy, keeping your eye on the ball.
530/37/4 24 July 2000, Nicholas Parsons with Clement Freud, Tony Hawks, Graham Norton and Linda Smith, stuffing a chicken.
531/37/5 31 July 2000, Nicholas Parsons with Paul Merton, Clement Freud, Tim Rice and Annabel Giles, how I like to relax.
532/37/6 7 August 2000, Nicholas Parsons with Paul Merton, Clement Freud, Linda Smith and Stephen Fry, cats.
533/37/7 14 August 2000, Nicholas Parsons with Clement Freud, Tony Hawks, Sue Perkins and Jeremy Hardy, positive thinking.
534/37/8 21 August 2000, Nicholas Parsons with Paul Merton, Clement Freud, Tim Rice and Annabel Giles, chopsticks.
535/37/9 28 August 2000, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Ross Noble, the fringe.
536/37/10 4 September 2000, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Greg Proops, whiz kids.
537/38/1 1 January 2001, Nicholas Parsons with Clement Freud, Tony Hawks, Linda Smith and Ross Noble, taking the waters.
538/38/2 8 January 2001, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Sue Perkins, how to win friends and influence people.
539/38/3 15 January 2001, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Julian Clary and Linda Smith, a close shave.
540/38/4 22 January 2001, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Sue Perkins, the secret of eternal youth.
541/38/5 29 January 2001, Nicholas Parsons with Clement Freud, Tony Hawks, Linda Smith and Ross Noble, loyalty cards.
542/38/6 5 February 2001, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Julian Clary and Linda Smith, my first job.
543/38/7 12 February 2001, Nicholas Parsons with Tony Hawks, Graham Norton, Tim Rice and Jenny Eclair, bananas.
544/38/8 19 February 2001, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Barry Cryer, name dropping.
545/38/9 26 February 2001, Nicholas Parsons with Tony Hawks, Graham Norton, Tim Rice and Jenny Eclair, my philosophy of life.
546/38/10 5 March 2001, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Barry Cryer, a sore point.
547/39/1 9 July 2001, Nicholas Parsons with Paul Merton, Clement Freud, Julian Clary and Jenny Eclair, Brighton rock.
548/39/2 16 July 2001, Nicholas Parsons with Tony Hawks, Sue Perkins, Tim Rice and Ross Noble, the good old days.
549/39/3 23 July 2001, Nicholas Parsons with Paul Merton, Clement Freud, Liza Tarbuck and Steve Frost, rhubarb.
550/39/4 30 July 2001, Nicholas Parsons with Paul Merton, Clement Freud, Julian Clary and Jenny Eclair, how to annoy this audience.
551/39/5 6 August 2001, Nicholas Parsons with Tony Hawks, Sue Perkins, Tim Rice and Ross Noble, how to recognise a real Yorkshireman.
552/39/6 13 August 2001, Nicholas Parsons with Paul Merton, Clement Freud, Liza Tarbuck and Steve Frost, how to get rid of hiccups.
553/39/7 20 August 2001, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Linda Smith, keeping up with the Joneses.
554/39/8 27 August 2001, Nicholas Parsons with Clement Freud, Graham Norton, Jenny Eclair and Ross Noble, the cleverest person I know.
555/39/9 3 September 2001, Nicholas Parsons with Clement Freud, Graham Norton, Ross Noble and Charles Collingwood, how to remember people's names.
556/40/1 31 December 2001, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Linda Smith, the year ahead.
557/40/2 7 January 2002, Nicholas Parsons with Paul Merton, Clement Freud, Liza Tarbuck and Stephen Fry, crow's feet.
558/40/3 14 January 2002, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Linda Smith and Chris Neill, poetic licence.
559/40/4 21 January 2002, Nicholas Parsons with Paul Merton, Clement Freud, Sheila Hancock and Graham Norton, the magic of radio.
560/40/5 28 January 2002, Nicholas Parsons with Paul Merton, Clement Freud, Liza Tarbuck and Stephen Fry, blowing the whistle.
561/40/6 4 February 2002, Nicholas Parsons with Tony Hawks, Graham Norton, Tim Rice and Jenny Eclair, more haste less speed.
562/40/7 11 February 2002, Nicholas Parsons with Tony Hawks, Sue Perkins, Wendy Richard and Ross Noble, the wild west.
563/40/8 18 February 2002, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Linda Smith and Chris Neill, my idea of a perfect day.
564/40/9 25 February 2002, Nicholas Parsons with Tony Hawks, Graham Norton, Tim Rice and Jenny Eclair, how to complain in a restaurant.
565/40/10 4 March 2002, Nicholas Parsons with Tony Hawks, Sue Perkins, Wendy Richard and Ross Noble, the best advice I ever had.
566/40/11 11 March 2002, Nicholas Parsons with Paul Merton, Clement Freud, Sheila Hancock and Graham Norton, the Channel tunnel.
567/41/1 1 July 2002, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Julian Clary, weather forecasters.
568/41/2 8 July 2002, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Liza Tarbuck, discos.
569/41/3 15 July 2002, Nicholas Parsons with Clement Freud, Gyles Brandreth, Jenny Eclair and Chris Neill, traffic wardens.
570/41/4 22 July 2002, Nicholas Parsons with Paul Merton, Clement Freud, Linda Smith and Ross Noble, Canterbury tales.
571/41/5 29 July 2002, Nicholas Parsons with Tony Hawks, Sue Perkins, Kit Hesketh-Harvey and Wendy Richard, the man on the Clapham omnibus.
572/41/6 5 August 2002, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Julian Clary, how to make a Cornish pastie.
573/41/7 12 August 2002, Nicholas Parsons with Clement Freud, Gyles Brandreth, Jenny Eclair and Chris Neill, the Saxons.
574/41/8 19 August 2002, Nicholas Parsons with Tony Hawks, Sue Perkins, Kit Hesketh-Harvey and Wendy Richard, the changing of the guard.
575/41/9 26 August 2002, Nicholas Parsons with Paul Merton, Clement Freud, Ross Noble and Greg Proops, the chairman's darkest secret.
576/41/10 2 September 2002, Nicholas Parsons with Paul Merton, Clement Freud, Ross Noble and Sean Lock, how to play the bagpipes.
577/42/1 1 January 2003, Nicholas Parsons with Paul Merton, Clement Freud, Sheila Hancock and Graham Norton, plus Gyles Brandreth, Jenny Eclair, Ross Noble, Chris Neill, Steve Frost, Charles Collingwood, Pam Ayres, Helen Boaden and Malcolm Messiter, Just A Minute in 2050.
578/42/2 6 January 2003, Nicholas Parsons with Paul Merton, Clement Freud, Linda Smith and Ross Noble, how to hand in your resignation.
579/42/3 13 January 2003, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Liza Tarbuck, alternative medicine.
580/42/4 20 January 2003, Nicholas Parsons with Clement Freud, Tony Hawks, Graham Norton and Pam Ayres, upstaging people.
581/42/5 27 January 2003, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Ross Noble and Steve Frost, why I love queuing.
582/42/6 3 February 2003, Nicholas Parsons with Paul Merton, Clement Freud, Wendy Richard and Liza Tarbuck, why I don't use Cockney rhyming slang.
583/42/7 10 February 2003, Nicholas Parsons with Clement Freud, Tony Hawks, Graham Norton and Pam Ayres, being a rebel.
584/42/8 17 February 2003, Nicholas Parsons with Tony Hawks, Linda Smith, Chris Neill and Bill Bailey, growing old gracefully.
585/42/9 24 February 2003, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Ross Noble and Steve Frost, what goes on backstage.
586/42/10 3 March 2003, Nicholas Parsons with Paul Merton, Clement Freud, Wendy Richard and Liza Tarbuck, the butchers.
587/42/11 10 March 2003, Nicholas Parsons with Tony Hawks, Linda Smith, Chris Neill and Bill Bailey, what I dreamt about last night.
588/42/12 17 March 2003, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Charles Collingwood, the wombles.
589/43/1 7 July 2003, Nicholas Parsons with Paul Merton, Clement Freud, Sheila Hancock and Kit Hesketh-Harvey, hogging the limelight.
590/43/2 14 July 2003, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Charles Collingwood, ballroom dancing.
591/43/3 21 July 2003, Nicholas Parsons with Clement Freud, Tony Hawks, Jenny Eclair and Ross Noble, party poopers.
592/43/4 28 July 2003, Nicholas Parsons with Paul Merton, Clement Freud, Sheila Hancock and Kit Hesketh-Harvey, the perfect breakfast.
593/43/5 4 August 2003, Nicholas Parsons with Clement Freud, Tony Hawks, Linda Smith and Chris Neill, how to get rid of spots.
594/43/6 11 August 2003, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Linda Smith, the best dressed member of the panel.
595/43/7 18 August 2003, Nicholas Parsons with Clement Freud, Tony Hawks, Jenny Eclair and Ross Noble, something to write home about.
596/43/8 25 August 2003, Nicholas Parsons with Paul Merton, Clement Freud, Julian Clary and Ross Noble, breaking records.
597/43/9 1 September 2003, Nicholas Parsons with Paul Merton, Clement Freud, Greg Proops and Dara O'Briain, fringe benefits.
598/43/10 8 September 2003, Nicholas Parsons with Clement Freud, Tony Hawks, Linda Smith and Chris Neill, shorts.
599/44/1 5 January 2004, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Liza Tarbuck and Charles Collingwood, music hall.
600/44/2 12 January 2004, Nicholas Parsons with Clement Freud, Tony Hawks, Graham Norton and Ross Noble, chewing the fat.
601/44/3 19 January 2004, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Linda Smith, my favourite words.
602/44/4 26 January 2004, Nicholas Parsons with Gyles Brandreth, Fred MacAulay, Maria McErlane and Nick Revell, doing two things at once.
603/44/5 2 February 2004, Nicholas Parsons with Gyles Brandreth, Fred MacAulay, Maria McErlane and Nick Revell, cold turkey.
604/44/6 9 February 2004, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Liza Tarbuck and Charles Collingwood, four poster beds.
605/44/7 16 February 2004, Nicholas Parsons with Clement Freud, Tony Hawks, Graham Norton and Ross Noble, 10 things I hate.
606/44/8 23 February 2004, Nicholas Parsons with Clement Freud, Tony Hawks, Julian Clary and Stephen Fry, why I never rely on a single source.
607/44/9 1 March 2004, Nicholas Parsons with Clement Freud, Graham Norton, Linda Smith and Ross Noble, Warwick Castle.
608/44/10 8 March 2004, Nicholas Parsons with Clement Freud, Graham Norton, Linda Smith and Ross Noble, swashbuckling.
609/44/11 15 March 2004, Nicholas Parsons with Clement Freud, Tony Hawks, Julian Clary and Stephen Fry, how to matchmake.
610/45/1 12 July 2004, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Stephen Fry, my favourite proverb.
611/45/2 19 July 2004, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Charles Collingwood, how to spot a lady.
612/45/3 26 July 2004, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Stephen Fry, what not to say to the Queen.
613/45/4 2 August 2004, Nicholas Parsons with Paul Merton, Clement Freud, Steve Frost and Victor Spinetti, mumbles.
614/45/5 9 August 2004, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Charles Collingwood, how to recognise a spy.
615/45/6 16 August 2004, Nicholas Parsons with Paul Merton, Clement Freud, Julian Clary and Liza Tarbuck, what my body language is telling you.
616/45/7 23 August 2004, Nicholas Parsons with Paul Merton, Clement Freud, Dara O'Briain and Lee Mack, if women ruled the world.
617/45/8 6 September 2004, Nicholas Parsons with Paul Merton, Clement Freud, Marcus Brigstocke and Rob Brydon, being a Celt.
618/45/9 13 September 2004, Nicholas Parsons with Paul Merton, Clement Freud, Steve Frost and Victor Spinetti, the best thing about Wales.
